Stratum;Transect;lat;lon;Country;TransID
4;1;60,7794719;-6;FO;4-1
4;1;60,7794719;-14;FO;4-1
4;2;60,4728873;-14;FO;4-2
4;2;60,4728873;-6;FO;4-2
6;3;60,61800679;-6;FO;6-3
6;3;60,61800679;-2,659484726;FO;6-3
6;2;60,30076469;-3,373279439;FO;6-2
6;2;60,30076469;-6;FO;6-2
4;3;60,16630269;-6;FO;4-3
4;3;60,16630269;-14;FO;4-3
4;4;59,85971808;-14;FO;4-4
4;4;59,85971808;-6;FO;4-4
1;2;51,66796085;-13;IE;1-2
1;2;51,66796085;-16;IE;1-2
1;4;52,54350989;-16;IE;1-4
1;4;52,54350989;-13;IE;1-4
1;5;52,98128441;-11,5;IE;1-5
1;5;52,98128441;-16;IE;1-5
1;7;53,85683346;-16;IE;1-7
1;7;53,85683346;-12,5;IE;1-7
3;2;55,08182259;-9,929917745;IE;3-2
3;2;55,08182259;-13,96969085;IE;3-2
5;2;55,40366958;-13,52268113;IE;5-2
5;2;55,40366958;-18;IE;5-2
5;4;56,44925074;-18;IE;5-4
5;4;56,44925074;-12,07048509;IE;5-4
3;6;56,40284102;-12,13494303;IE;3-6
3;6;56,40284102;-9;IE;3-6
3;11;58,05411406;-8,891771871;IE;3-11
3;11;58,05411406;-12;IE;3-11
5;7;58,01762247;-12;IE;5-7
5;7;58,01762247;-17;IE;5-7
5;8;58,54041304;-17;IE;5-8
5;8;58,54041304;-12;IE;5-8
3;14;59,04487789;-12;IE;3-14
3;14;59,04487789;-6,910244219;IE;3-14
1;1;51,23018632;-13;NL;1-1
1;1;51,23018632;-16;NL;1-1
1;3;52,10573537;-16;NL;1-3
1;3;52,10573537;-13;NL;1-3
1;6;53,41905894;-12,5;NL;1-6
1;6;53,41905894;-16;NL;1-6
2;0;53,95;-15,64170116;NL;2-1
2;1;54,7;-15,28787246;NL;2-1
2;2;53,95;-14,87126739;NL;2-1
2;3;54,7;-14,51743869;NL;2-1
2;4;53,95;-14,10083362;NL;2-1
2;5;54,7;-13,74700492;NL;2-1
2;6;53,95;-13,33039984;NL;2-1
2;7;54,7;-12,97657115;NL;2-1
2;8;53,95;-12,55996607;NL;2-1
2;9;54,7;-12,20613738;NL;2-1
2;10;53,95;-11,7895323;NL;2-1
2;11;54,7;-11,43570361;NL;2-1
2;12;53,95;-11,01909853;NL;2-1
2;13;54,7;-10,66526984;NL;2-1
3;3;55,4120772;-9,478618314;NL;3-3
3;3;55,4120772;-13,5110039;NL;3-3
3;5;56,07258641;-12,59362998;NL;3-5
3;5;56,07258641;-9;NL;3-5
3;7;56,73309563;-9;NL;3-7
3;7;56,73309563;-12;NL;3-7
3;9;57,39360485;-12;NL;3-9
3;9;57,39360485;-9;NL;3-9
3;13;58,71462328;-7,570753436;NL;3-13
3;13;58,71462328;-12;NL;3-13
5;9;59,06320362;-12;NL;5-9
5;9;59,06320362;-17;NL;5-9
5;10;59,5859942;-17;NL;5-10
5;10;59,5859942;-12;NL;5-10
3;16;59,70538711;-12;NL;3-16
3;16;59,70538711;-4,973064461;NL;3-16
3;1;54,75156798;-10,32013513;NO;3-1
3;1;54,75156798;-14,42837781;NO;3-1
5;1;54,88087901;-14,24877916;NO;5-1
5;1;54,88087901;-18;NO;5-1
5;3;55,92646016;-18;NO;5-3
5;3;55,92646016;-12,79658311;NO;5-3
3;4;55,7423318;-13,05231694;NO;3-4
3;4;55,7423318;-9;NO;3-4
3;8;57,06335024;-9;NO;3-8
3;8;57,06335024;-12;NO;3-8
5;5;56,97204131;-12;NO;5-5
5;5;56,97204131;-18;NO;5-5
5;6;57,49483189;-17;NO;5-6
5;6;57,49483189;-12;NO;5-6
3;10;57,72385946;-12;NO;3-10
3;10;57,72385946;-9;NO;3-10
3;12;58,38436867;-8,231262654;NO;3-12
3;12;58,38436867;-12;NO;3-12
3;15;59,3751325;-12;NO;3-15
3;15;59,3751325;-6,249735002;NO;3-15
6;1;59,9835226;-6;NO;6-1
6;1;59,9835226;-4,087074152;NO;6-1
6;4;60,93524888;-1,945690014;NO;6-4
6;4;60,93524888;-6;NO;6-4
6;5;61,25249098;-5,621263534;NO;6-5
6;5;61,25249098;-1,598007218;NO;6-5
6;6;61,56973307;-1,344213543;NO;6-6
6;6;61,56973307;-5,145400392;NO;6-6
6;7;61,88697517;-4,669537251;NO;6-7
6;7;61,88697517;-1,090419867;NO;6-7
